"Node","Cluster","Betweenness","Closeness","PageRank"
"clarke e.m. 1999","1","210","0.003663003663003663","0.02039745694498707"
"lafferriere g. 2000","1","0","0.003246753246753247","0.03148528407690646"
"tarski a. 1951","1","0","0.003246753246753247","0.03003753772988992"
"alur r. 1994","1","286.5","0.005617977528089887","0.02672935718287485"
"ghosh r.","1","0","0.003246753246753247","0.02442048362447395"
"rogers r.w. 1983","2","0","0.1","0.02421257289036506"
"bandura a. 1997","2","0","0.1","0.02196892223318282"
"fogg b.j. 2003","2","0","0.1","0.01764829211049472"
"moszkowski b. 1983","3","98.37273153706266","0.005681818181818182","0.04147858983392197"
"allen j.f. 1983-1","3","361.6044507793382","0.006493506493506494","0.0331519155247712"
"venema y. 1990","3","29.37859905702812","0.005494505494505495","0.02616838296933393"
"halpern j.y. 1991-1","3","1.493043919039734","0.005154639175257732","0.0253456422794704"
"allen j.f. 1983-2","3","0","0.002976190476190476","0.01809420997287986"
"marcinkowski j. 2014","3","4.941332367801769","0.005263157894736842","0.02532985369533781"
"halpern j.y. 1991-2","3","0","0.002976190476190476","0.01629879364039814"
"molinari a.","3","3.524318561430832","0.005208333333333333","0.02568254056113907"
"molinari a. 2016","3","0.9708447256228123","0.005154639175257732","0.01360797689761442"
"molinari a. 2015-1","3","2.820044551982626","0.005208333333333333","0.02305310356885047"
"bresolin d. 2014-1","3","0","0.002941176470588235","0.01180165148244161"
"bresolin d. 2014-2","3","0.8644189108826779","0.005154639175257732","0.01931465256057682"
"lomuscio a. 2014","3","1.414445047276015","0.005154639175257732","0.02180086648336545"
"molinari a. 2015-2","3","2.11577054253442","0.005208333333333333","0.02160489568879958"
"muscettola n. 1994","4","144","0.006024096385542169","0.01529500905663992"
"cialdea mayer m. 2016","4","144","0.006024096385542169","0.01529500905663992"
"bresolin d. 2009","5","237.5879881516516","0.006172839506172839","0.03021194304260008"
"venema y. 1991","5","50.05200009530293","0.005882352941176471","0.0284595752956329"
"halpern j. 1991","5","23.58340951421202","0.005617977528089887","0.02695511162927393"
"bresolin d. 2007","5","9.678378518590673","0.005617977528089887","0.02175742779724953"
"goranko v. 2003","5","4.017113093245101","0.005555555555555556","0.02139775314374972"
"otto m. 2001","5","2.879562957963912","0.005555555555555556","0.01836739871551432"
"goranko v. 2004","5","3.055909193463295","0.005617977528089887","0.01857397057954882"
"allen j. 1983","5","0","0.002994011976047904","0.007995417244503089"
"blackburn p. 2002","5","1.945977227373323","0.005555555555555556","0.0134327174812239"
"bresolin d. 2010","5","9.199661248197222","0.005813953488372093","0.01125314528878323"
"hillston j. 1996","6","137","0.003076923076923077","0.03614763626576425"
"honsell f.","7","0","1","0.02127659574468085"
"aczel p. 1988","8","0","0.003003003003003003","0.006436219791599023"
"baral c. 2003","9","2","0.25","0.03167033504524332"
"milner r. 1989","10","0","0.002770083102493075","0.008613634801566766"
"saraswat v.a. 1993","11","0","0.002777777777777778","0.02255951971838915"
"dovier a.","12","0","0.1666666666666667","0.01088285644411836"
"miculan m. 1997","13","0","1","0.02127659574468085"
"alzetta g. 2018","14","0","0.002770083102493075","0.0140357802414314"
"jaffar j. 1994","15","0","0.1666666666666667","0.01088285644411836"
"marriott k. 1998","16","2","0.25","0.03167033504524332"
"paige r. 1987","17","191","0.003367003367003367","0.01336065471134016"
"wilkinson d.j. 2006","18","0","0.002777777777777778","0.02255951971838915"
